Tanda,Empresa,Zona/Sede,Empleados,Sector,Tier,Por qué encaja,Señales,Fuentes
1,Pasaban,Tolosa (Gipuzkoa),72,Cortadoras/bobinadoras (papel),A,"Bienes de equipo a medida para papel/cartón y papel de seguridad; exporta +95% a los cinco continentes. Industrial exportador clásico, en expansión.","Adquiere A&F Holdings (Pensilvania, EE.UU.) en mar-2024 para reforzar el mercado americano | Plan 2025-2026 de crecer en México y Canadá y reforzar Finlandia/Austria | Récord de facturación >€45M en 2024",https://www.pasaban.com/en-US/who-we-are | https://cronicavasca.elespanol.com/empresas/20250113/pasaban-la-empresa-industria-carton-inicia-facturacion/915158556_0.html
1,Biele Group,Azpeitia (Gipuzkoa),188,Líneas automáticas / plantas llave en mano,A,"Diseña y monta líneas automáticas y fábricas llave en mano (madera, metal, packaging); exporta 95% a 50+ países con oficinas propias en EE.UU. y China.","Adquiere la alemana KBD Automation (Colonia) en oct-2024 para reforzar Europa Central | Crecimiento de ~€75M (2022) a ~€100M, 95% exportación | Ampliación de planta en Azpeitia (nuevo pabellón ~4.000 m²)",https://biele.com/about-us/ | https://biele.com/biele-group/biele-usa/
1,SALTO Systems,Oiartzun (Gipuzkoa),1000,Control de acceso electrónico,A,"Control de acceso/cerraduras inteligentes a un universo amplísimo (hoteles, oficinas, educación) en 40+ países; venta directa con filiales. Escala-up internacional.",Abre nueva unidad de negocio en Lituania (2025) | Lanza la cerradura biométrica XS4 en Norteamérica; 4 productos nuevos | €430M de ventas; ecosistema Salto+Gantner+Vintia,https://saltosystems.com/en/news/salto-strengthening-smart-access-technology-growing-asia-pacific-region/ | https://memoori.com/salto-systems-beyond-access-control-4-investments/
1,Geminis Lathes,Urretxu (Gipuzkoa),63,Tornos CNC de gran tamaño,A,"Tornos CNC y multiproceso de gran capacidad; 95% exportación (Alemania, EE.UU.), venta a sectores muy variados. Crecimiento fuerte y empuje internacional.",Refuerza posición en India y EE.UU. (mercados estratégicos) en 2025 | +20% de negocio previsto en 2025; EBITDA +34% y beneficio +77% en 2024 | Diversificación hacia máquina-herramienta de gran tamaño,https://www.spri.eus/es/blog/internacionalizacion-comunicacion/geminis-lathes-busca-consolidarse-en-mercados-estrategicos-como-estados-unidos-e-india/ | https://www.estrategia.net/noticias/la-captacion-de-nuevos-proyectos-catapulta-a-geminis-lathes-que-en-2025-incrementara-su-negocio-un-20
1,ZAYER,Vitoria-Gasteiz (Álava),115,Fresadoras y centros de mecanizado,A,"Fresadoras y centros de mecanizado; exporta +70% a 40+ países con oficinas propias en Italia, Brasil y China. Compradores amplios (aero, ferroviario, eólica, moldes).",Lanza la nueva fresadora gantry ALTEA W en EMO Hannover 2025 | Colaboración con Mitsubishi Electric para entrar en EE.UU. | Nuevo distribuidor en Turquía; oficinas propias en Italia/Brasil/China,https://www.zayer.com/en/company | https://es.linkedin.com/company/zayer-s-a-
1,SORALUCE,Bergara (Gipuzkoa),210,"Fresado, mandrinado y multitarea",A,"Marca operativa del grupo Danobat: máquina de gran dimensión (fresado/mandrinado). Exportador, venta directa, compradores amplios. Año récord y nueva capacidad.",Inaugura nueva planta de montaje y amplía a 30.000 m²; invierte +€15M | Adquiere la división de fresadoras puente de CMI (Durango) | Arranca 2026 con expectativa de récord apoyada en automatización inteligente,https://www.danobatgroup.com/es/noticias/inauguracion-institucional-de-la-nueva-planta-de-montaje-de-soraluce-de-la-mano-del-lehendakari-inigo-urkullu | https://www.empresaxxi.com/post/soraluce-se-lanza-a-por-un-nuevo-ano-record
1,ABC Compressors,Eibar (Gipuzkoa),205,Compresores industriales de gran tamaño,A,"Compresores de gran tamaño para PET, gas, biogás e hidrógeno; exporta 90% a 120 países con servicio técnico propio en 60. Compradores amplios (envasadores, gas).","Crecimiento en hidrógeno y biogás (nuevos mercados verdes) | Plantas propias en China y Brasil; oficinas en India y EE.UU. | Clientes globales tipo Coca-Cola, Nestlé, Danone",https://www.abc-compressors.com/en/ | https://empresaexterior.com/art/81455/abc-compressors-uno-de-los-lideres-mundiales-en-compresores-que-llega-a-120-paises
1,Fagor Arrasate,Arrasate/Mondragón (Gipuzkoa),535,Prensas y líneas de conformado,A,"Prensas y líneas de corte/conformado de metal a un universo amplio (automoción, electrodoméstico, siderurgia, mueble metálico) con plantas de servicio en 7 países.","Refuerza México (12% de su facturación) con nuevas líneas (p.ej. Ternium) | Premio de Hisense Europe como mejor proveedor (ene-2025) | Plantas de servicio en España, Alemania, EE.UU., China, México, Brasil y Turquía",https://fagorarrasate.com/es/ | https://www.tulankide.com/es/fagor-arrasate-suministra-lineas-de-corte-de-acero-a-la-mexicana-ternium
1,ONA EDM,Durango (Bizkaia),89,Máquinas de electroerosión (EDM),A,"Líder europeo en electroerosión; 80-90% exportación a 60+ países con filiales y country managers propios. Compradores amplios (moldes, turbinas, aeronáutica, EV).","Su filial en China bate récords impulsada por vehículo eléctrico y aeronáutica (2026) | Country managers propios en Portugal, India, etc. | +15.000 máquinas instaladas; ~20% de plantilla en I+D",https://onaedm.com/onaedm/ | https://www.spri.eus/es/blog/teics-comunicacion/ona-primer-fabricante-de-maquinas-de-electroerosion-en-la-union-europea/
1,Azkoyen Group,Peralta (Navarra),277,"Vending, medios de pago e IoT",B,"Máquinas de vending/café y tecnologías de pago e IoT a un universo amplio en 100+ países; venta directa, crecimiento sostenido.",Crea la nueva sociedad Azkoyen Vending & Payment Solutions (oct-2025) | Facturación €211M (+6%) en 2025; división de pagos/IoT lidera el crecimiento | Presencia en más de 100 países (Alemania 31% de ventas),https://www.azkoyen.com/en/press/ | https://www.azkoyen.com/en/prensa/azkoyen-group-increases-its-turnover-by-6-reaching-211-million-euros/
1,EGA Master,Vitoria-Gasteiz (Álava),105,Herramienta profesional premium,B,"Herramienta industrial premium a 150+ países con filiales propias en 10. Compradores muy amplios (industria, aeronáutica, energía); modelo híbrido directo+distribuidor.","Gana cuentas aeronáuticas globales en 2025 (Jet Aviation, Riyadh Air, MRO) | Filiales propias en 10 países + representación en Singapur para Asia | Solución 4.0 EGAWARE (control RFID) que sube ticket y alarga ciclo",https://www.egamaster.com/en/presentation | https://www.egamaster.com/en
1,Salva Industrial,Lezo (Gipuzkoa),133,Hornos y maquinaria de panadería,B,"Hornos y maquinaria de panadería/pastelería; exporta 70% a 100+ países con filiales propias (Francia, UK, Dubái, México). Industrial exportador clásico.","Nuevo contrato con Tesco (Reino Unido) y apertura de la Salva Academy | Filiales/delegaciones propias en Francia, Oriente Medio, UK y México | Lanzamientos de producto (hornos Solaris y Kwik-co Pro-Wash)",https://www.salva.es/en/sales-network | https://www.salva.es/en/about-us
1,Goizper Group,Antzuola (Gipuzkoa),133,Transmisión de potencia y pulverización,B,"Componentes de transmisión (embragues/frenos/mesas indexadas) y pulverización; 80% exportación, 14 filiales propias. Fase declarada de desarrollo internacional.","Reto estratégico de ganar cuota en EE.UU., Brasil, India, China | 14 filiales propias + planta en China; ventas en 100+ países | Nuevo CEO (Iñaki Madina): posible nueva etapa de impulso",https://www.goizperindustry.com/en/goizper-group | https://www.goizperclutches.com/en-el-mundo/en
1,Focke Meler Gluing Solutions,Arazuri (Navarra),126,Sistemas de aplicación de adhesivos,B,"Sistemas hot-melt de aplicación de adhesivos; diseña/fabrica en España y exporta 70-80% con filiales propias. Universo amplio (packaging, higiene, automoción, madera).","Facturación del grupo +23,4% en 2024 (~€35M); plantilla de Arazuri +15% | Nuevo melter Micron+Eco en 2025 (-48% de consumo) | Plan 2020-2025: triplicar producción hasta €50M; filiales creciendo a doble dígito",https://www.meler.eu/meler/meler-in-the-world/ | https://www.meler.eu/
1,INSERTEC,Galdakao (Bizkaia),290,Hornos y refractarios industriales,B,"Hornos industriales y refractarios para siderurgia/aluminio/fundición; grupo internacional con filiales en Italia, Brasil, México y China, suministra a 25+ países.","Grupo presente en 8 países con filiales propias (Italia, Brasil, México, China) | Suministra a clientes de más de 25 países en todos los continentes | Doble división (hornos + refractarios) con base en Bizkaia",https://www.insertec.biz/about-insertec/ | https://www.linkedin.com/company/insertec---ingenieria-y-servicios-tecnicos-s-a/
2,Pronutec,Basque,93,"Appliances, Electrical, and Electronics Manufacturing",A,"Fabricante vasco de bienes de equipo eléctrico (cuadros BT/switchgear) de 93 empleados, en el sweet spot del ICP, presente en +70 países con +2.420 clientes finales (universo amplísimo y sin concentración). Filiales comerciales propias del grupo Gorlan (Germany, Polska, India, China, Suiza) confirman venta directa internacional real, y la entrada en automatización BT y EV charging marca expansión activa de cartera.","+70 países y +2.420 clientes finales (universo amplio, no concentrado) | Filiales comerciales propias: Gorlan Germany, Polska, India, China, Pronutec AG Suiza (venta directa) | Departamento de export propio con representantes por región (Europa, APAC, Latam) | Entrada en automatización BT en 2024 (expansión de cartera) | Lanzamiento gama EV charging stations en 2023 (diversificación a nuevos sectores) | 93 empleados (sweet spot 80-150)",https://pronutec.gorlan.com/en/company/ | https://pronutec.gorlan.com/en/sales-representatives/export/ | https://gorlan.com/en/ | https://es.linkedin.com/company/pronutec
2,GEKA,Basque,70,Machinery Manufacturing,A,"Fabricante vasco independiente (1919) de maquinaria de ticket alto para construcción metálica y torres, exportador puro con clientes directos en +50 países y universo amplísimo de fabricantes de estructura metálica en todo el mundo. La apertura de GEKA USA (filial propia) en 2024, el Plan Estratégico 2024-2026 y la adquisición de tecnología BOHRMAX marcan un momento de expansión muy activo con desarrollo directo de mercado.","Apertura de GEKA USA, filial propia en Norteamérica (desarrollo directo sin distribuidores) | Presencia en 50 países con agentes y clientes directos (EEUU, Canadá, Arabia Saudí, Kazajistán, México…) | Plan Estratégico 2024-2026: inversión para ampliar capacidad y plantilla | Adquisición de tecnología BOHRMAX de Bauer en 2024 (diversificación de cartera) | División Automation CNC como nuevo driver de negocio | Clientes de referencia directos: Nucor, Canam Steel, Al-Ashoury, KAZ-Energo",https://www.geka-world.com/fileadmin/user_upload/presse/PDF/expansion_2024.pdf | https://www.geka-group.com/ | https://www.empresaxxi.com/mev-cuadro-de-honor/geka-aprovecha-su-marca-centenaria-para-diversificar-y-expandirse | https://www.afm.es/en/companies/members/geka-2 | https://www.eximpedia.app/companies/maquinaria-geka-s-l-u/95796530
2,NBI Bearings Europe,Basque,71,Machinery Manufacturing,A,"Fabricante vasco de rodamientos de precisión con diseño y producción propios, presente en +50 países con equipos de venta propios en 15+ países (>25 personas en ventas), lo que confirma desarrollo directo sin distribuidores. Vende a fabricantes de maquinaria de múltiples sectores (universo amplio), con ciclo técnico largo, y muestra señales de expansión recientes en Brasil e India.","+50 países con equipos de venta propios en 15+ países y >25 comerciales | Expansión activa en Brasil como mercado prioritario en Latinoamérica | Planta en Ahmedabad (India) añadiendo tercer turno por demanda de exportación | Producto propio con diseño + producción in-house (ciclo largo con ingeniería) | Grupo NBI con 8 plantas en Europa y Asia | Cotiza en BME Growth (empresa española de origen vasco, no filial extranjera)",https://gruponbi.com/en/ | https://www.bmegrowth.es/esp/Ficha/NBI_BEARINGS_EUROPE_ES0105062022.aspx | https://www.marketscreener.com/quote/stock/NBI-BEARINGS-EUROPE-S-A-111616000/company/ | https://www.marketscreener.com/quote/stock/NBI-BEARINGS-EUROPE-S-A-111616000/company-group/
2,LemuGroup,Basque,62,Industrial Machinery Manufacturing,A,"Fabricante vasco de maquinaria de converting a medida (ticket alto, ciclo largo) con vocación exportadora probada: ha creado LemuGroup America (filial propia USA/Canadá) y adquirido CEI en Montana, alcanzando 5 centros de producción en 3 países. Vende a imprentas, convertidores y fabricantes de etiquetas/packaging en todo el mundo, un universo de compradores amplio en 7 mercados objetivos.","Creación de LemuGroup America, filial propia USA/Canadá (venta directa) | Adquisición de Converting Equipment International (Montana, USA) — expansión inorgánica reciente | 5 centros de producción en 3 países tras integrar la italiana ErreGiElle | Presencia en drupa (feria mundial de referencia) | 7 mercados objetivos (Labels, Packaging, POS-Lottery, Baking paper…) | +60 años y +120 instalaciones documentadas",https://www.labelsandlabeling.com/labels/news/ma/lemugroup-strengthens-global-presence-us-plant | https://www.labelsandlabeling.com/news/finishing-and-embellishment/lemugroup-america-established-promote-growth-key-market | https://www.labelandnarrowweb.com/company-profile/lemu-group-usa/ | https://www.lemugroup.com/ | https://www.erregielle.it/en/lemu/
2,"GRUPO MIESA | Ingeniería, Montaje, Mantenimiento",Basque,65,Automation Machinery Manufacturing,A,"Empresa vizcaína de automatización e instrumentación industrial con filiales propias en México, Ecuador y República Dominicana y proyectos en Tanzania y Argentina, internacionalización real con equipo propio fuera de España. Atiende oil&gas, química, farma, alimentación y energía (universo amplio), con proyectos a medida de ticket alto y ciclo largo, y un crecimiento del +29% en ventas en 2024 que marca buen momento.","Filiales propias en México, Ecuador y República Dominicana (desarrollo directo) | 82 empleados fuera de España | Proyectos internacionales: biocontención MPL/CL3 en Tanzania, proyectos en Argentina | Crecimiento de ventas +29% y resultados +92% en 2024 vs 2023 | Web en inglés con sección 'Miesa Internacional' dedicada | Sectores atendidos muy diversos (oil&gas, química, farma, alimentación, energía)",https://www.miesasa.com/en/miesa-internacional/ | https://www.spri.eus/es/blog/teics-comunicacion/miesa-la-empresa-vizcaina-que-ofrece-soluciones-integrales-y-a-medida-en-la-automatizacion-y-control-industrial/ | https://www.miesasa.com/en/miesa/clientes/ | https://www.miesasa.com/en/proyectos/
2,Lander Simulation & Training Solutions,Basque,129,"Appliances, Electrical, and Electronics Manufacturing",A,"Empresa industrial vasca (~118-129 empleados, sweet spot) exportadora real con +400 simuladores en 40 países, producto de alto ticket y ciclo largo a medida para operadores de transporte. Expansión activa en Asia y Europa con contrataciones de comerciales propios por región, aunque la dependencia parcial de representantes externos modera ligeramente el encaje.","+400 simuladores instalados en 40 países | Expansión activa en Asia: MRT Jakarta 2023, red de autoescuelas Singapur, SMRT Circle Line, Bangladesh Railways | Contrato en Europa anunciado (sept 2023) y proyecto en Leconfield (UK) | Contratación de comercial propio (Jorge Meré) para reforzar Sudeste Asiático | Presencia en InnoTrans (feria ferroviaria internacional de referencia) | ~118-129 empleados (sweet spot ICP)",https://www.spri.eus/es/blog/internacionalizacion-comunicacion/lander-simulation-desarrolla-tecnologia-que-forma-a-conductores-en-todo-el-mundo/ | https://www.landersimulation.com/en/news/landers-sales-team-takes-new-challenges | https://www.landersimulation.com/en/news/lander-simulation-training-solutions-innotrans | https://www.linkedin.com/posts/lander-simulation_lander-continues-to-find-success-in-europe-activity-7113460531612516352-8XQc | https://mafex.es/en/portfolio/lander-simulation-training/
2,Macarbox,Basque,64,Machinery Manufacturing,A,"Fabricante vasco (Gipuzkoa) de maquinaria industrial para cartón corrugado (líneas completas FFG/RDC), bienes de equipo de alto valor y ciclo largo, con universo amplio de fabricantes de packaging en todo el mundo. Vocación exportadora demostrada en CCE Munich 2025 y Monterrey (México); el único gap es no tener confirmado explícitamente un equipo de comerciales propios por país.","Expositor en CCE International Munich 2025 (feria global del corrugado) | Presencia en ACCCSA Monterrey (México) — entrada en mercado latinoamericano | Líneas completas de fabricación de alta complejidad (venta directa con ingeniería de preventa y postventa) | 64-101 empleados, capital >1M€ (sweet spot ICP) | Empresa propia vasca (Zestoa), no filial extranjera | Universo amplio: fabricantes de cajas/cartón corrugado y packaging en todo el mundo",https://www.macarbox.com/en | https://www.macarbox.com/en/products | https://www.linkedin.com/company/macarbox | https://www.pulpandpaper-technology.com/suppliers/macarbox-s-l-u | https://www.dnb.com/business-directory/company-profiles.macarbox_sl.289687ab09f2fe32ec97a8da4908ec15.html | https://www.einforma.com/informacion-empresa/macarbox
2,JMBGRUPO,Basque,234,Machinery Manufacturing,A,"Fabricante vasco de maquinaria industrial (sistemas de lavado de grandes flotas) de 234 empleados, con internacionalización acreditada vía JMB International y filial en Tailandia, y web/área de ventas en inglés. Producto de ticket medio-alto e instalación de proyecto (ciclo largo) con universo amplio: cualquier operador de flota pesada/ferroviaria del mundo, encajando en el patrón CMZ/Danobat/Ibarmia.","Entidad propia 'JMB International' (jmbinter.com) y filial 'JMB International Thailand' en LinkedIn | Web corporativa en inglés (jmbgrupo.com/en/) con sección JMB Sales dedicada | Universo de compradores global: flotas de transporte, ferroviarias, autobuses | 234 empleados (sweet spot ICP), Machinery Manufacturing | Producto de ticket medio-alto con instalación de proyecto y ciclo largo",https://www.jmbgrupo.com/en/ | https://www.jmbinter.com/ | https://www.linkedin.com/company/jmb-international-thailand | https://transporte3.com/noticia/14903-jmb-nuestros-monocepillos-se-adaptan-a-la-necesidades-de-cada-empresa/
2,EUN Creating Smart Spaces,Basque,64,Mechanical Or Industrial Engineering,B,"Empresa industrial vasca (Beasain, mismo ecosistema que clientes ICP validados) con producto propio, 50 años de trayectoria y presencia real en +80 países con filiales y comerciales internacionales propios (International Sales Manager, técnico Latam). Universo de compradores amplísimo (cualquier organización que gestione espacios); la única reserva es que su vertical de gestión de espacios es algo más blando que la maquinaria pura.","Presencia declarada en +80 países con clientes, alianzas e instalaciones propias | Filiales propias: EUN Sistemas, EUN Madrid, EUN México (venta directa) | International Sales Manager y técnico comercial Latam en plantilla | 50+ años con producto propio diseñado por ellos (no revende) | Universo amplio: empresas, hospitales, archivos, administraciones, industria | Empresa vasca de Beasain (Gipuzkoa), ecosistema de CMZ/Danobat/Ibarmia",https://www.eungroup.com/en/ | https://www.eungroup.com/en/about-us | http://www.eun.es/en/the-company | https://rocketreach.co/eun-creating-smart-spaces-eng-management_b437b7e6c1f33535 | https://www.apollo.io/companies/EUN-Creating-Smart-Spaces/54a11c1e69702d86b6e77b00
2,DORLET,Basque,76,"Appliances, Electrical, and Electronics Manufacturing",B,"Empresa vasca fabricante de hardware + software de control de accesos con filiales propias en París, Dubái y México, venta directa a infraestructuras críticas con ticket alto y ciclo largo, y universo de clientes amplio y diversificado (hospitales, banca, puertos, data centers). El encaje no es pleno porque la seguridad física es un vertical adyacente al perfil de maquinaria/bienes de equipo que mejor conoce Neety.","Filiales propias en París, Dubái y Ciudad de México (estructura directa) | Certificación ANSSI (Francia) en 2024 — habilita mercado francés de infraestructuras críticas | Entidad 'DORLET International' activa en LinkedIn | Crecimiento sostenido 2024 en hospitales, universidades, banca, puertos, data centers | Perspectivas 2025: expansión a nuevos mercados (declarado en su web)",https://www.dorlet.com/en/news/company/2024-review-and-prospects-2025 | https://www.dorlet.com/en/about-us | https://www.linkedin.com/company/dorletsa-international | https://www.dorlet.com/en/news/company/dorlet-france-reinforces-its-position-international-market
2,BELCA,Basque,79,Machinery Manufacturing,C,"Industrial vasca exportadora de maquinaria de envasado (flow-pack, thermoformers) con +30 años, presencia en +25 países y filial propia en México con showroom nuevo, lo que la acerca al ICP en producto y universo amplio (agroalimentario, pescado, hortofrutícola). La duda es que su expansión internacional se apoya principalmente en red de distribuidores y no en comerciales directos por mercado, justo donde Neety aporta más valor.","Maquinaria de envasado de bienes de equipo, +30 años (perfil industrial) | Presencia en +25 países (México, Grecia, Finlandia, Holanda, Australia, LATAM…) | Filial propia BELCA México con showroom nuevo (internacionalización directa activa) | Asistencia a Seafood Expo Global 2025 dando soporte a clientes internacionales | Universo amplio: agroalimentario, avicultura, hortofruticultura, pescado | 79 empleados (límite inferior del sweet spot)",https://www.belca.es/ | https://www.belca.es/en/belca-sobre-nosotros/ | https://mx.linkedin.com/company/belca-m%C3%A9xico | https://informativocolombia.com/actualidad/belca-mas-de-20-anos-de-empaque-en-america-latina/ | https://mundofinanciero.cl/belca-en-america-latina-mas-de-20-anos-impulsando-la-excelencia-en-el-proceso-de-empaque/
2,MSI Grupo. Mondragon Sistemas de Información,Basque,65,Automation Machinery Manufacturing,C,"Integradora industrial con expansión internacional real (filiales en México y Chile), proyectos llave en mano de ticket alto y crecimiento por M&A (Sarabe Ingeniería), con respaldo de Mondragón. La reserva es que su modelo es ingeniería de proyecto a medida, no fabricación de producto exportable con cartera recurrente de prospectos, lo que diluye el encaje con la propuesta de señales de Neety.","Filiales propias en México y Chile (expansión internacional documentada) | Proyecto turnkey en desaladora Guaymas-Empalme (México) | Adquisición de Sarabe Ingeniería (Navarra) — crecimiento por M&A | Parte de Mondragon Corporation (red y respaldo internacional) | Proyectos multisectoriales (agua, metal, alimentación, calidad)",https://www.msigrupo.com/en/home-en/ | https://www.tulankide.com/es/msi-grupo-adquiere-sarabe-ingenieria-para-consolidar-su-posicionamiento-en-navarra | https://www.beckhoff.com/es-es/support/solution-provider-program/mondragon-sistemas-informacion-s-coop-msi-grupo.html | https://www.stech.es/en/companies/members/msi-group
2,TH COMPANY,Basque,153,Machinery Manufacturing,C,"Fabricante industrial vasco genuino (153 empleados) con producto propio para pesca y minería, exportador real con clientes directos internacionales y equipo comercial propio (marca Marco, referente mundial en maquinaria de cubierta). La fricción es el universo de compradores: tanto la pesca de altura como la gran minería son mercados de pocas cuentas globales, lo que lo acerca al perfil concentrado anti-ICP.","Producto propio para pesca y minería (fabricante exportador) | Clientes directos en pesca: Albacora, Pesca Azteca (México), Tri Marine, Echebastar | 153 empleados (sweet spot 80-1000) | Marca Marco como referente mundial en maquinaria de cubierta (venta directa) | Diversificación en dos sectores (pesca + minería)",https://www.thsa.com/en/home | https://www.thsa.com/en/industries | https://www.thsa.com/en/products
2,APEL Grúas,Basque,125,Industrial Machinery Manufacturing,C,"Fabricante vasco de maquinaria de elevación (grúas puente, polipastos), sector 100% alineado con el ICP, 125 empleados (sweet spot), producto de ticket alto/ciclo largo y universo de compradores potencial muy amplio (cualquier planta industrial). La reserva clave es que no hay evidencia de actividad exportadora ni comerciales internacionales propios, por lo que queda como ICP condicional hasta confirmar si exporta realmente.","Fabricante de grúas puente y polipastos (sector 100% alineado con ICP) | 125 empleados (sweet spot 80-150) | Ubicación vasca (clúster de GH Cranes, JASO que internacionalizan) | Producto de alto ticket y ciclo largo (instalación de grúas a medida) | Universo de compradores potencial amplio: cualquier planta industrial | Gap: sin evidencia de exportación o comerciales internacionales propios",https://www.zoominfo.com/c/apel/372510011 | https://www.europages.co.uk/companies/spain/manufacturer%20producer/cranes.html
